Name,X,Y,Angle,Value,Package
0.1UCAP[1/3],-12.00,-16.75,0.00,CL31B104KBCNNNC,CAPC3216X100N
0.1UCAP[2/3],1.25,-59.50,90.00,CL31B104KBCNNNC,CAPC3216X100N
100UF_CAP[1/2],0.75,18.06,180.00,EEE-FTH101XAP,CAP_EEEFTH101XAP
100UF_CAP[2/2],-17.78,-5.85,180.00,EEE-FTH101XAP,CAP_EEEFTH101XAP
D1,-18.75,8.00,90.00,PMEG4010EGWX,SOD-123
D3,1.50,-14.50,90.00,PMEG4010EGWX,SOD-123
FUSE,0.00,-65.38,90.00,SMD2016B100TF/33,SMD2016B100TF/33
HEADER1,-11.45,3.76,270.00,CES-107-01-G-S,SAMTEC-CES-107-01-X-S
HEADER2,3.79,3.76,90.00,CES-107-01-G-S,SAMTEC-CES-107-01-X-S
MICROLOCK-RIGHT-ANGLE,0.00,-71.17,0.00,2200980271,2200980271
MICROLOCK-VERTICAL,16.44,11.79,270.00,2200970271,CONN_2200970000-SD_02_MOL
RECOM-BUCK,11.40,13.40,90.00,R-78K5.0-1.0,R-78K5.0-1.0_RCP
RECOM-DRIVER,12.10,-3.92,90.00,RCD-24-0.70/VREF,RCD24030
RES5.6K1,-12.00,-14.00,180.00,RC1206JR-075K6L,RESC3116X65N
RES5.6K2,-12.00,-11.25,180.00,RC1206JR-075K6L,RESC3116X65N
RES5.6K3,-15.00,8.00,90.00,RC1206JR-075K6L,RESC3116X65N
TMP75,-4.92,-14.66,270.00,TMP75AQDRQ1,D8_TEX
TVS,-1.13,-59.38,90.00,SMF4L24AT1G,SODFL3619X98N
U1,-7.81,17.12,0.00,TS12A4515D,D8-L
