Qty,Value,Device,Package,Parts,Description,DATASHEET,MANUFACTURER,MPN
1,2200970271,2200970271CONN_2200970000-SD_02_MOL,CONN_2200970000-SD_02_MOL,MICROLOCK-VERTICAL,1.25WB MLP SGL VT TH ASSY 2CKT B,https://www.molex.com/content/dam/molex/molex-dot-com/products/automated/en-us/salesdrawingpdf/220/220097/2200970271_sd.pdf,Molex,2200970271
1,2200980271,220098-0271,2200980271,MICROLOCK-RIGHT-ANGLE,1.25WB MLP SGL RA TH ASSY 2CKT B,https://www.molex.com/en-us/products/part-detail-pdf/2200980271?display=pdf,Molex,2200980271
3,807-22-001-10-001101,807-22-001-10-001101CONN_807-22-001-10-001101_MIM,CONN_807-22-001-10-001101_MIM,"+BTN, -BTN, POWERBTN",CONTACT SPRING LOADED T/H GOLD,https://www.mill-max.com/sites/default/files/external/catalog/2018-07/004-022.pdf,Mill-Max,807-22-001-10-001101
2,CES-107-01-G-S,SAMTEC-CES-107-01-X-SJ,SAMTEC-CES-107-01-X-S,"HEADER1, HEADER2",CONN RCPT 7POS 0.1 GOLD PCB,https://suddendocs.samtec.com/catalog_english/ces.pdf,Samtec,CES-107-01-G-S
3,CL31B104KBCNNNC,CL31B104KBCNNNC,CAPC3216X100N,"0.1UCAP[1/3], 0.1UCAP[2/3], 0.1UCAP[3/3]",CAP CER 0.1UF 50V X7R 1206,https://product.samsungsem.com/mlcc/CL31B104KBCNNN.do,Samsung Electro-Mechanics,CL31B104KBCNNNC
2,EEE-FTH101XAP,EEEFTH101XAP,CAP_EEEFTH101XAP,"100UF_CAP[1/2], 100UF_CAP[2/2]",CAP ALUM 100UF 20% 50V SMD,https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/RDE0000C1269.pdf,Panasonic,EEE-FTH101XAP
2,PMEG4010EGWX,PMEG4010EGWX,SOD-123,"D1, D3",DIODE SCHOTTKY 40V 1A SOD123,https://assets.nexperia.com/documents/data-sheet/PMEG4010EGW.pdf,Nexperia,PMEG4010EGWX
1,R-78K5.0-1.0,R-78K5.0-1.0SIP3_R-78K-0.5_RCP,R-78K5.0-1.0_RCP,RECOM-BUCK,1A DC/DC-CONVERTER 'INNOLINE' SI,https://recom-power.com/pdf/Innoline/R-78K-1.0.pdf,RECOM Power,R-78K5.0-1.0
3,RC1206JR-075K6L,RC1206JR-075K6L,RESC3116X65N,"RES5.6K1, RES5.6K2, RES5.6K3",RES 5.6K OHM 5% 1/4W 1206,https://media.digikey.com/pdf/Data%20Sheets/Yageo%20PDFs/RC_Series_L_Suffix_Rev12_DS.pdf,YAGEO,RC1206JR-075K6L
1,RCD-24-0.70/VREF,RCD-24-0.70_VREF,RCD24030,RECOM-DRIVER,LED DRIVER CC BUCK 2-35V 700MA,https://recom-power.com/pdf/Lightline_DC-DC/RCD-24.pdf,RECOM Power,RCD-24-0.70/VREF
1,SMD2016B100TF/33,SMD2016B100TF/33,SMD2016B100TF/33,FUSE,PTC RESET FUSE 33V 1.1A 2016,https://yageogroup.com/component-documentation/download/datasheet/SMD2016B100TF%2F33?lang=en,YAGEO,SMD2016B100TF/33
1,SMF4L24AT1G,SMF4L24AT1G,SODFL3619X98N,TVS,TVS DIODE 24VWM 38.9VC SOD123F,https://www.littelfuse.com/assetdocs/littelfuse_tvs_diode_smf4l_datasheet?assetguid=d2ba8fab-1de3-4176-8530-f36ecb0b8799,Littelfuse,SMF4L24AT1G
1,TMP75AQDRQ1,TMP75AQDRQ1D8_TEX,D8_TEX,TMP75,SENSOR DIGITAL -40C-125C 8SOIC,https://www.ti.com/lit/ds/symlink/tmp75-q1.pdf,Texas Instruments,TMP75AQDRQ1
1,TS12A4515D,TS12A4515DD8-L,D8-L,U1,IC SWITCH SPST-NCX1 10OHM 8SOIC,https://www.ti.com/lit/ds/symlink/ts12a4515.pdf,Texas Instruments,TS12A4515D
1,VEML7700-TR,VEML7700-TR,XDCR_VEML7700-TR,VEML7700,SENSOR OPT 545NM AMBIENT 4SMD,https://www.vishay.com/docs/84286/veml7700.pdf,Vishay,VEML7700-TR
